iter	Passed	Remaining
811	2024	468
812	2026	466
813	2028	463
814	2030	460
815	2032	458
816	2034	455
817	2036	453
818	2037	450
819	2039	447
820	2041	445
821	2043	442
822	2045	439
823	2047	437
824	2049	434
825	2051	432
826	2053	429
827	2055	426
828	2057	424
829	2059	421
830	2060	419
831	2062	416
832	2064	413
833	2066	411
834	2068	408
835	2070	406
836	2072	403
837	2074	401
838	2076	398
839	2078	395
840	2080	393
841	2082	390
842	2084	388
843	2086	385
844	2089	383
845	2091	380
846	2094	378
847	2096	375
848	2098	373
849	2100	370
850	2102	368
851	2104	365
852	2106	363
853	2108	360
854	2111	358
855	2113	355
856	2115	353
857	2117	350
858	2120	348
859	2122	345
860	2124	342
861	2127	340
862	2129	338
863	2132	335
864	2135	333
865	2137	330
866	2140	328
867	2143	325
868	2145	323
869	2148	321
870	2151	318
871	2153	316
872	2156	313
873	2158	311
874	2161	308
875	2164	306
876	2166	303
877	2169	301
878	2172	299
879	2175	296
880	2177	294
881	2180	291
882	2183	289
883	2185	286
884	2188	284
885	2190	281
886	2193	279
887	2196	277
888	2198	274
889	2201	272
890	2204	269
891	2206	267
892	2209	264
893	2211	262
894	2214	259
895	2216	257
896	2219	254
897	2221	252
898	2224	249
899	2227	247
900	2229	244
901	2232	242
902	2235	240
903	2237	237
904	2240	235
905	2243	232
906	2245	230
907	2248	227
908	2250	225
909	2253	222
910	2256	220
911	2258	217
912	2261	215
913	2263	213
914	2266	210
915	2268	208
916	2271	205
917	2274	203
918	2277	200
919	2280	198
920	2282	195
921	2284	193
922	2286	190
923	2288	188
924	2290	185
925	2292	183
926	2294	180
927	2296	178
928	2298	175
929	2299	173
930	2301	170
931	2304	168
932	2305	165
933	2307	163
934	2309	160
935	2311	158
936	2313	155
937	2315	153
938	2317	150
939	2319	148
940	2321	145
941	2323	143
942	2325	140
943	2326	138
944	2328	135
945	2330	133
946	2332	130
947	2334	128
948	2336	125
949	2338	123
950	2340	120
951	2342	118
952	2343	115
953	2345	113
954	2347	110
955	2349	108
956	2351	105
957	2353	103
958	2355	100
959	2357	98
960	2359	95
961	2361	93
962	2363	90
963	2365	88
964	2367	85
965	2369	83
966	2371	80
967	2373	78
968	2374	75
969	2376	73
970	2378	71
971	2380	68
972	2382	66
973	2384	63
974	2386	61
975	2388	58
976	2390	56
977	2392	53
978	2394	51
979	2396	48
980	2398	46
981	2401	44
982	2403	41
983	2405	39
984	2407	36
985	2409	34
986	2411	31
987	2413	29
988	2415	26
989	2417	24
990	2419	21
991	2421	19
992	2423	17
993	2424	14
994	2426	12
995	2428	9
996	2430	7
997	2432	4
998	2434	2
999	2436	0
